Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,combined_text
X-Ray Machine,B-5438,Cooper Companies,Rev. 4.5,2025-06-16,Class I,D501525,Neonatal,Used for intraoperative monitoring monitoring during complex oncological surgeries.,Do not use in patients with stroke. Contraindicated in fire hazard zones.,,8,15,9.0,3.14,14.0,Device Name: X-Ray Machine. Model: B-5438. Manufacturer: Cooper Companies. Indications: Used for intraoperative monitoring monitoring during complex oncological surgeries.. Contraindications: Do not use in patients with stroke. Contraindicated in fire hazard zones..
Syringe Pump,Model 8062,Becton Dickinson,v1.7,2018-04-11,Class I,TGA-523623,Adult and Pediatric,Indicated for real-time respiratory rate assessment in emergency department triage protocols.,Avoid use if patient has malignant hyperthermia or is receiving blood thinners.,,14,14,11.0,7.13,36.0,Device Name: Syringe Pump. Model: Model 8062. Manufacturer: Becton Dickinson. Indications: Indicated for real-time respiratory rate assessment in emergency department triage protocols.. Contraindications: Avoid use if patient has malignant hyperthermia or is receiving blood thinners..
Nebulizer,Pro486,IDEXX Laboratories,Version 10,2020-02-23,Class III,K548186,Geriatric,Indicated for routine calibration screening in outpatient clinical facilities.,Avoid use in patients with severe diabetes or altered cognitive function.,Pre-Sterilized,6,8,,3.96,30.0,Device Name: Nebulizer. Model: Pro486. Manufacturer: IDEXX Laboratories. Indications: Indicated for routine calibration screening in outpatient clinical facilities.. Contraindications: Avoid use in patients with severe diabetes or altered cognitive function..
Wound Care System,FRE555,Fresenius Medical Care,v14.0,2021-10-18,Class III,HC-477432,Pediatric,Indicated for diagnostic patient positioning to assess infectious diseases in clinical environments.,Avoid use in patients with dental implants or cardiac devices. Not suitable for unsupervised use.,Hydrogen Peroxide Plasma,3,9,4.0,11.39,32.0,Device Name: Wound Care System. Model: FRE555. Manufacturer: Fresenius Medical Care. Indications: Indicated for diagnostic patient positioning to assess infectious diseases in clinical environments.. Contraindications: Avoid use in patients with dental implants or cardiac devices. Not suitable for unsupervised use..
Electrosurgical Unit,Model 1380,Aesculap,2020-05-N,2015-01-15,Class III,UKCA41361,Adult and Pediatric,Designed for intubation facilitation in telemedicine and remote patient monitoring.,Do not use in combination with flammable anesthetics or pain management modalities.,Ethylene Oxide (EtO),13,14,5.0,17.6,27.0,Device Name: Electrosurgical Unit. Model: Model 1380. Manufacturer: Aesculap. Indications: Designed for intubation facilitation in telemedicine and remote patient monitoring.. Contraindications: Do not use in combination with flammable anesthetics or pain management modalities..
X-Ray Machine,B. 590,B. Braun,v1.9,2015-04-30,Class IIa,,Pediatric,Used for long-term phototherapy delivery in ambulatory care settings for diabetes patients.,Avoid use in patients with epilepsy or altered cognitive function.,Chemical Sterilization,2,5,11.0,17.75,16.0,Device Name: X-Ray Machine. Model: B. 590. Manufacturer: B. Braun. Indications: Used for long-term phototherapy delivery in ambulatory care settings for diabetes patients.. Contraindications: Avoid use in patients with epilepsy or altered cognitive function..
Infusion Pump,BAX174,Baxter International,v12.0,2024-07-19,Class II,HDE327265,Adult (>65),Designed for life support in patients with cancer under medical supervision.,Do not use in patients with autoimmune disorders. Contraindicated in hyperbaric chambers.,Hydrogen Peroxide Plasma,15,10,7.0,5.22,23.0,Device Name: Infusion Pump. Model: BAX174. Manufacturer: Baxter International. Indications: Designed for life support in patients with cancer under medical supervision.. Contraindications: Do not use in patients with autoimmune disorders. Contraindicated in hyperbaric chambers..
Defibrillator,Max134,Thermo Fisher Scientific,Rev. 9.6,2017-06-02,Class IIb,IVDR-114310,Adult,Indicated for blood gas analysis surveillance in infection control protocols.,Do not use during local anesthesia administration or in comatose.,Chemical Sterilization,23,28,5.0,17.95,28.0,Device Name: Defibrillator. Model: Max134. Manufacturer: Thermo Fisher Scientific. Indications: Indicated for blood gas analysis surveillance in infection control protocols.. Contraindications: Do not use during local anesthesia administration or in comatose..
Pacemaker,X-6355,B. Braun,v11.4,2020-09-02,Class III,Q206793,Geriatric,Used for therapeutic oxygen therapy in terminally ill patients requiring medication administration.,Contraindicated in patients with renal insufficiency or severe hepatic dysfunction.,Steam Sterilization,3,7,15.0,0.11,40.0,Device Name: Pacemaker. Model: X-6355. Manufacturer: B. Braun. Indications: Used for therapeutic oxygen therapy in terminally ill patients requiring medication administration.. Contraindications: Contraindicated in patients with renal insufficiency or severe hepatic dysfunction..
Nebulizer,Pro135,Richard Wolf,2020-07-S,2022-05-16,Class I,HDE943956,Geriatric,Intended for monitoring and measuring ECG readings in paralyzed patients in hospital and clinical settings.,Avoid use in patients with neurostimulators or clips and coils. Not suitable for hyperbaric chambers.,Hydrogen Peroxide Plasma,2,6,7.0,3.86,10.0,Device Name: Nebulizer. Model: Pro135. Manufacturer: Richard Wolf. Indications: Intended for monitoring and measuring ECG readings in paralyzed patients in hospital and clinical settings.. Contraindications: Avoid use in patients with neurostimulators or clips and coils. Not suitable for hyperbaric chambers..
Pulse Oximeter,JOH303,Johnson & Johnson,Rev. 4.1,2018-10-01,Class IIa,PMDA-693431,Pediatric (2-18),Designed for home-based wound irrigation in stable neonatal patients with chronic cardiac disorders.,Not suitable for use with chemotherapy drugs or in emergency situations.,UV Sterilization,8,4,6.0,0.2,27.0,Device Name: Pulse Oximeter. Model: JOH303. Manufacturer: Johnson & Johnson. Indications: Designed for home-based wound irrigation in stable neonatal patients with chronic cardiac disorders.. Contraindications: Not suitable for use with chemotherapy drugs or in emergency situations..
Defibrillator,STE899,Steris,Rev. 10.3,2019-02-06,Class II,PMDA-564910,All,Indicated for continuous respiratory rate monitoring during transplant surgical procedures.,Do not use in combination with conductive gels or electrotherapy modalities.,Steam Sterilization,19,26,5.0,1.08,15.0,Device Name: Defibrillator. Model: STE899. Manufacturer: Steris. Indications: Indicated for continuous respiratory rate monitoring during transplant surgical procedures.. Contraindications: Do not use in combination with conductive gels or electrotherapy modalities..
Catheter,SIE840,Siemens Healthineers,Rev. 2.6,2015-06-27,Class IIb,NMPA-619366,Adult and Pediatric,Designed for preventive screening assistance in geriatric care facilities for elderly patients.,Do not use if battery depletion is detected or quality control has expired.,Dry Heat,8,12,3.0,13.45,30.0,Device Name: Catheter. Model: SIE840. Manufacturer: Siemens Healthineers. Indications: Designed for preventive screening assistance in geriatric care facilities for elderly patients.. Contraindications: Do not use if battery depletion is detected or quality control has expired..
Blood Glucose Monitor,Plus152,Hologic,Rev. 8.4,2023-02-11,Class I,HDE873213,All,Used for emergency surgical intervention in acute respiratory conditions situations requiring immediate care.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Pre-Sterilized,8,16,,0.34,25.0,Device Name: Blood Glucose Monitor. Model: Plus152. Manufacturer: Hologic. Indications: Used for emergency surgical intervention in acute respiratory conditions situations requiring immediate care.. Contraindications: Contraindicated in presence of electromagnetic fields or MRI environments exposure..
Digital Thermometer,TER777,Terumo,Version 15,2024-01-26,Class IIb,HDE589668,Adult and Pediatric,Indicated for hemoglobin levels analysis in laboratory diagnostic testing environments.,Do not use during general anesthesia administration or in sedated.,UV Sterilization,9,12,3.0,0.4,34.0,Device Name: Digital Thermometer. Model: TER777. Manufacturer: Terumo. Indications: Indicated for hemoglobin levels analysis in laboratory diagnostic testing environments.. Contraindications: Do not use during general anesthesia administration or in sedated..
Patient Monitor,Model 1488,Mindray,Rev. 1.4,2018-09-19,Class I,IDE327227,Adult (18-65),Used for long-term dialysis delivery in ambulatory care settings for renal failure patients.,Not recommended for use in post-operative patients or those with bleeding disorders.,Autoclave,11,12,12.0,2.6,37.0,Device Name: Patient Monitor. Model: Model 1488. Manufacturer: Mindray. Indications: Used for long-term dialysis delivery in ambulatory care settings for renal failure patients.. Contraindications: Not recommended for use in post-operative patients or those with bleeding disorders..
Pacemaker,B-3854,Dentsply Sirona,Rev. 6.6,2024-10-13,Class III,CE9182,Geriatric,Used for long-term drug delivery delivery in ambulatory care settings for orthopedic injuries patients.,Do not use if patient has known allergy to antibiotics or hypersensitivity to bronchodilators.,Autoclave,6,14,21.0,0.04,,Device Name: Pacemaker. Model: B-3854. Manufacturer: Dentsply Sirona. Indications: Used for long-term drug delivery delivery in ambulatory care settings for orthopedic injuries patients.. Contraindications: Do not use if patient has known allergy to antibiotics or hypersensitivity to bronchodilators..
Blood Glucose Monitor,Plus792,Medtronic,Version 7,2020-12-01,Class II,NMPA-328620,Neonatal,Designed for perioperative temperature management during neurological interventions.,Do not use in combination with magnetic materials or wound irrigation modalities.,Ethylene Oxide (EtO),5,18,5.0,0.4,31.0,Device Name: Blood Glucose Monitor. Model: Plus792. Manufacturer: Medtronic. Indications: Designed for perioperative temperature management during neurological interventions.. Contraindications: Do not use in combination with magnetic materials or wound irrigation modalities..
Stent,GE 629,GE Healthcare,2025-03-A,2015-12-14,Class II,K358800,Geriatric,Indicated for routine documentation screening in outpatient clinical facilities.,Do not use if structural defects is present or incision is infected.,Steam Sterilization,5,12,25.0,0.13,37.0,Device Name: Stent. Model: GE 629. Manufacturer: GE Healthcare. Indications: Indicated for routine documentation screening in outpatient clinical facilities.. Contraindications: Do not use if structural defects is present or incision is infected..
Patient Monitor,ZEI602,Zeiss Medical Technology,2023-05-Q,2016-08-24,Class III,HC-823742,Adult (18-65),Used for intraoperative calibration monitoring during complex gastroenterological surgeries.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Steam Sterilization,8,18,12.0,3.49,,Device Name: Patient Monitor. Model: ZEI602. Manufacturer: Zeiss Medical Technology. Indications: Used for intraoperative calibration monitoring during complex gastroenterological surgeries.. Contraindications: Contraindicated in presence of radio frequencies or MRI environments exposure..
Patient Monitor,Plus768,Intuitive Surgical,Rev. 4.1,2017-02-24,Class I,PMDA-640772,Adult (18-65),Designed for wound care assistance in geriatric care facilities for elderly patients.,Avoid use in patients with heart valves or cochlear implants. Not suitable for explosive atmospheres.,Ethylene Oxide (EtO),11,20,,4.93,25.0,Device Name: Patient Monitor. Model: Plus768. Manufacturer: Intuitive Surgical. Indications: Designed for wound care assistance in geriatric care facilities for elderly patients.. Contraindications: Avoid use in patients with heart valves or cochlear implants. Not suitable for explosive atmospheres..
